origin_iata,dest_iata,anchor_annual,anchor_weekly,years_used,first_year,last_year,method
FMO,FRA,66584.0,1280.4615,7,2015,2024,eu_trend_wm_max_recent_v2
ADD,FCO,66559.44,1279.9892,7,2015,2024,eu_trend_wm_max_recent_v2
MAN,EXT,66557.04,1279.9431,5,2015,2019,eu_trend_wm_max_recent_v2
LIS,OTP,66542.94,1279.672,4,2015,2019,eu_trend_wm_max_recent_v2
BTS,DUB,66540.72,1279.6292,7,2015,2024,eu_trend_wm_max_recent_v2
DUS,LGW,66516.0,1279.1538,2,2015,2019,eu_trend_wm_max_recent_v2
LCA,WAW,66497.0,1278.7885,7,2015,2024,eu_trend_wm_max_recent_v2
GOT,LPA,66444.02,1277.7695,7,2015,2024,eu_trend_wm_max_recent_v2
NRT,MXP,66437.86,1277.6512,5,2015,2019,eu_trend_wm_max_recent_v2
STR,ATL,66427.0,1277.4423,7,2015,2024,eu_trend_wm_max_recent_v2
LHR,PSA,66419.87,1277.3051,7,2015,2024,eu_trend_wm_max_recent_v2
TLL,OSL,66414.0,1277.1923,7,2015,2024,eu_trend_wm_max_recent_v2
LPL,GVA,66410.0,1277.1154,5,2015,2019,eu_trend_wm_max_recent_v2
BRS,KRK,66386.0,1276.6538,7,2015,2024,eu_trend_wm_max_recent_v2
NAP,ZRH,66365.36,1276.2569,7,2015,2024,eu_trend_wm_max_recent_v2
BRU,LPA,66360.18,1276.1573,7,2015,2024,eu_trend_wm_max_recent_v2
FCO,HND,66347.81,1275.9194,2,2023,2024,eu_trend_wm_max_recent_v2
JED,MXP,66332.1,1275.6173,2,2023,2024,eu_trend_wm_max_recent_v2
LGW,GNB,66324.95,1275.4798,7,2015,2024,eu_trend_wm_max_recent_v2
CDG,LOS,66306.12,1275.1177,7,2015,2024,eu_trend_wm_max_recent_v2
STN,MLA,66281.29,1274.6402,7,2015,2024,eu_trend_wm_max_recent_v2
SCL,MXP,66235.3,1273.7557,1,2016,2016,eu_trend_wm_max_recent_v2
BGO,AES,66224.0,1273.5385,5,2015,2019,eu_trend_wm_max_recent_v2
SPU,MUC,66224.0,1273.5385,7,2015,2024,eu_trend_wm_max_recent_v2
IST,GOT,66218.0,1273.4231,3,2019,2024,eu_trend_wm_max_recent_v2
FRA,ALC,66209.0,1273.25,3,2017,2019,eu_trend_wm_max_recent_v2
GLA,ACE,66204.39,1273.1614,7,2015,2024,eu_trend_wm_max_recent_v2
OSL,MXP,66196.3,1273.0057,7,2015,2024,eu_trend_wm_max_recent_v2
CPH,TRD,66194.45,1272.9702,7,2015,2024,eu_trend_wm_max_recent_v2
EXT,MAN,66193.92,1272.96,5,2015,2019,eu_trend_wm_max_recent_v2
GVA,YYZ,66185.31,1272.7945,5,2015,2019,eu_trend_wm_max_recent_v2
RHO,AMS,66184.74,1272.7835,7,2015,2024,eu_trend_wm_max_recent_v2
DUB,ATL,66170.43,1272.5082,6,2016,2024,eu_trend_wm_max_recent_v2
PRG,PMI,66168.58,1272.4727,6,2016,2024,eu_trend_wm_max_recent_v2
HEL,DXB,66152.0,1272.1538,4,2016,2019,eu_trend_wm_max_recent_v2
LPA,STR,66135.0,1271.8269,7,2015,2024,eu_trend_wm_max_recent_v2
PVG,BUD,66132.84,1271.7854,1,2024,2024,eu_trend_wm_max_recent_v2
CHQ,OSL,66129.9,1271.7289,7,2015,2024,eu_trend_wm_max_recent_v2
MUC,KEF,66089.88,1270.9592,7,2015,2024,eu_trend_wm_max_recent_v2
BUD,VIE,66085.74,1270.8797,7,2015,2024,eu_trend_wm_max_recent_v2
EWR,OPO,66049.4,1270.1809,6,2015,2024,eu_trend_wm_max_recent_v2
VIE,GRZ,66025.0,1269.7115,7,2015,2024,eu_trend_wm_max_recent_v2
MLA,STN,66008.76,1269.3991,7,2015,2024,eu_trend_wm_max_recent_v2
FRA,FMO,65994.0,1269.1154,7,2015,2024,eu_trend_wm_max_recent_v2
MXP,LED,65988.0,1269.0,5,2015,2019,eu_trend_wm_max_recent_v2
BSL,IST,65977.06,1268.7895,3,2019,2024,eu_trend_wm_max_recent_v2
SVQ,FCO,65973.6,1268.7231,7,2015,2024,eu_trend_wm_max_recent_v2
BGO,LHR,65971.06,1268.6742,3,2015,2017,eu_trend_wm_max_recent_v2
LGW,SOF,65962.38,1268.5073,7,2015,2024,eu_trend_wm_max_recent_v2
