iata,icao,name,city,country,lat,lon,runway_length_ft,gate_count,timezone,score,category
MIB,KMIB,Minot Air Force Base,Minot,US,48.4156,-101.358002,13197,25,America/Chicago,15000,small_airport
MID,MMMD,Mérida International Airport,Mérida,MX,20.937000,-89.657700,10499,15,America/Merida,650000,large_airport
MIE,KMIE,Delaware County Johnson Field,Muncie,US,40.242298,-85.395897,6500,25,America/New_York,12000,small_airport
MIG,ZUMY,Mianyang Nanjiao Airport,Mianyang,CN,31.428700,104.741997,7874,15,Asia/Shanghai,350000,medium_airport
MIM,YMER,Merimbula Airport,Merimbula,AU,-36.908000,149.901001,5200,2,Australia/Sydney,35000,small_airport
MIV,KMIV,Millville Municipal Airport,Millville,US,39.367802,-75.072197,6002,25,America/New_York,8000,small_airport
MKC,KMKC,Charles B. Wheeler Downtown Airport,Kansas City,US,39.123199,-94.592796,7002,25,America/Chicago,45000,small_airport
MKE,KMKE,General Mitchell International Airport,Milwaukee,US,42.947201,-87.896599,9690,80,America/New_York,820000,medium_airport
MKG,KMKG,Muskegon County Airport,Muskegon,US,43.169498,-86.238197,6501,25,America/New_York,35000,small_airport
MKK,PHMK,Molokai Airport,Kaunakakai,US,21.152901,-157.095993,4494,25,Pacific/Honolulu,25000,small_airport
MKL,KMKL,McKellar-Sipes Regional Airport,Jackson,US,35.599899,-88.915604,6006,25,America/New_York,8000,small_airport
MKQ,WAKK,Mopah Airport,Merauke,ID,-8.520440,140.417999,8202,4,Asia/Jayapura,130000,medium_airport
MKW,WAUU,Rendani Airport,Manokwari,ID,-0.892010,134.050003,6561,4,Asia/Jayapura,150000,medium_airport
MKY,YBMK,Mackay Airport,Mackay,AU,-21.171700,149.180000,6483,5,Australia/Brisbane,220000,medium_airport
MLB,KMLB,Melbourne Orlando International Airport,Melbourne,US,28.102009,-80.641088,10181,129,America/New_York,440000,medium_airport
MLC,KMLC,Mc Alester Regional Airport,Mc Alester,US,34.882401,-95.783501,5602,25,America/Chicago,5000,small_airport
MLE,VRMM,Velana International Airport,Malé,MV,4.191830,73.529099,11155,20,Indian/Maldives,540000,large_airport
MLG,WARA,Abdul Rachman Saleh Airport,Malang,ID,-7.926580,112.712997,7545,4,Asia/Jakarta,210000,medium_airport
MLI,KMLI,Quad City International Airport,Moline,US,41.448502,-90.5075,10002,45,America/Chicago,310000,medium_airport
MLM,MMMM,General Francisco J. Mujica International Airport,Morelia,MX,19.850000,-101.025000,11155,6,America/Mexico_City,280000,medium_airport
MLS,KMLS,Miles City Airport - Frank Wiley Field,Miles City,US,46.427268,-105.885372,5680,25,America/Denver,4000,small_airport
MLU,KMLU,Monroe Regional Airport,Monroe,US,32.510899,-92.037697,7507,25,America/Chicago,65000,small_airport
MMB,RJCM,Memanbetsu Airport,Ozora,JP,43.880600,144.164001,8202,5,Asia/Tokyo,110000,medium_airport
MMD,ROMD,Minamidaito Airport,Minamidaito,JP,25.845800,131.263000,4921,1,Asia/Tokyo,8000,small_airport
MME,EGNV,Teesside International Airport,Darlington,GB,54.509167,-1.429444,7516,5,Europe/London,60000,medium_airport
MMJ,RJAF,Matsumoto Airport,Matsumoto,JP,36.166700,137.923000,6561,3,Asia/Tokyo,45000,small_airport
MMT,KMMT,Mc Entire Joint National Guard Base,Eastover,US,33.920799,-80.8013,9017,25,America/New_York,15000,small_airport
MMU,KMMU,Morristown Municipal Airport,Morristown,US,40.799062,-74.414949,5999,25,America/New_York,45000,small_airport
MMY,ROMY,Miyako Airport,Miyakojima,JP,24.782801,125.294998,6561,8,Asia/Tokyo,220000,medium_airport
